"sku","product","handle","price","variant"
"18RG-NINA-NAT","NINA","nina-natural","1730.00","18K Rose Gold"
"PT-NINA-NAT","NINA","nina-natural","2040.00","Platinum"
"14G-NINA-LG","NINA","nina-lab-grown","1130.00","14K Yellow Gold"
"18G-NINA-LG","NINA","nina-lab-grown","1440.00","18K Yellow Gold"
"14WG-NINA-LG","NINA","nina-lab-grown","1130.00","14K White Gold"
"18WG-NINA-LG","NINA","nina-lab-grown","1440.00","18K White Gold"
"14RG-NINA-LG","NINA","nina-lab-grown","1130.00","14K Rose Gold"
"18RG-NINA-LG","NINA","nina-lab-grown","1440.00","18K Rose Gold"
"PT-NINA-LG","NINA","nina-lab-grown","1760.00","Platinum"
"14G-NORA-NAT","NORA","nora-natural","3630.00","14K Yellow Gold"
"18G-NORA-NAT","NORA","nora-natural","3900.00","18K Yellow Gold"
"14WG-NORA-NAT","NORA","nora-natural","3630.00","14K White Gold"
"18WG-NORA-NAT","NORA","nora-natural","3900.00","18K White Gold"
"14RG-NORA-NAT","NORA","nora-natural","3630.00","14K Rose Gold"
"18RG-NORA-NAT","NORA","nora-natural","3900.00","18K Rose Gold"
"PT-NORA-NAT","NORA","nora-natural","4410.00","Platinum"
"14G-NORA-LG","NORA","nora-lab-grown","2550.00","14K Yellow Gold"
"18G-NORA-LG","NORA","nora-lab-grown","2830.00","18K Yellow Gold"
"14WG-NORA-LG","NORA","nora-lab-grown","2550.00","14K White Gold"
"18WG-NORA-LG","NORA","nora-lab-grown","2830.00","18K White Gold"
"14RG-NORA-LG","NORA","nora-lab-grown","2550.00","14K Rose Gold"
"18RG-NORA-LG","NORA","nora-lab-grown","2830.00","18K Rose Gold"
"PT-NORA-LG","NORA","nora-lab-grown","3340.00","Platinum"
"14G-AMELIA-NAT","AMELIA","amelia-natural","2030.00","14K Yellow Gold"
"18G-AMELIA-NAT","AMELIA","amelia-natural","2200.00","18K Yellow Gold"
"14WG-AMELIA-NAT","AMELIA","amelia-natural","2030.00","14K White Gold"
"18WG-AMELIA-NAT","AMELIA","amelia-natural","2200.00","18K White Gold"
"14RG-AMELIA-NAT","AMELIA","amelia-natural","2030.00","14K Rose Gold"
"18RG-AMELIA-NAT","AMELIA","amelia-natural","2200.00","18K Rose Gold"
"PT-AMELIA-NAT","AMELIA","amelia-natural","2550.00","Platinum"
"14G-AMELIA-LG","AMELIA","amelia-lab-grown","1460.00","14K Yellow Gold"
"18G-AMELIA-LG","AMELIA","amelia-lab-grown","1640.00","18K Yellow Gold"
"14WG-AMELIA-LG","AMELIA","amelia-lab-grown","1460.00","14K White Gold"
"18WG-AMELIA-LG","AMELIA","amelia-lab-grown","1640.00","18K White Gold"
"14RG-AMELIA-LG","AMELIA","amelia-lab-grown","1460.00","14K Rose Gold"
"18RG-AMELIA-LG","AMELIA","amelia-lab-grown","1640.00","18K Rose Gold"
"PT-AMELIA-LG","AMELIA","amelia-lab-grown","1990.00","Platinum"
"14G-LARA-NAT","LARA","lara-natural","1120.00","14K Yellow Gold"
"18G-LARA-NAT","LARA","lara-natural","1250.00","18K Yellow Gold"
