sku,product_name,category,price_thb,price_usd,quantity
ORGCBB1-21-W,PEACE - SNAKE CHAIN,Charm Bracelets,2900,89.00,5
ORGCBB1-21-R,PEACE - SNAKE CHAIN,Charm Bracelets,2900,89.00,8
ORGCBB1-21-K,PEACE - SNAKE CHAIN,Charm Bracelets,2900,89.00,8
ORGCBB1-21-B,PEACE - SNAKE CHAIN,Charm Bracelets,2900,89.00,8
ORGCB56-L,"Love Charm, Blue Enamel",Charms,1200,49.00,27
ORGCB56-R,"Love Charm, Red Enamel",Charms,1200,49.00,27
ORGCB177,ORGCB177,Charms,1200,,28
ORGCB175,Hans Christian Andersen Charm,Charms,1200,39.00,26
ORGCB109,ORGCB109,Charms,1200,,28
ORGCB110,ORGCB110,Charms,1200,,27
ORGCB182-1,"Aristotle Quote Charm, Discipline",Charms,1200,49.00,12
ORGCB182-2,"Aristotle Quote Charm, Happiness",Charms,1200,49.00,12
ORGCB182-3,"Aristotle Quote Charm, Friendship",Charms,1200,49.00,12
ORGCB182-5,"Aristotle Quote Charm, Knowledge",Charms,1200,49.00,11
ORGCB182-6,"Aristotle Quote Charm, Education",Charms,1200,49.00,11
ORGCB182-7,"Aristotle Quote Charm, Purpose",Charms,1200,49.00,11
ORGCB182-8,"Aristotle Quote Charm, Wisdom",Charms,1200,49.00,12
ORGCB184-1,"Lao Tzu Quote Charm, The Journey",Charms,1200,49.00,11
ORGCB184-2,"Lao Tzu Quote Charm, Freedom",Charms,1200,49.00,10
ORGCB184-3,"Lao Tzu Quote Charm, Silence",Charms,1200,49.00,12
ORGCB184-4,"Lao Tzu Quote Charm, The Flame",Charms,1200,49.00,10
ORGCB184-5,"Lao Tzu Quote Charm, Love",Charms,1200,49.00,12
ORGCB184-6,"Lao Tzu Quote Charm, The Traveller",Charms,1200,49.00,12
ORGCB184-7,"Lao Tzu Quote Charm, Calm",Charms,1200,49.00,10
ORGCB185-14K,"Lemon Charm, 14K Gold",Charms,1200,49.00,27
ORGCB186-1,"Engraved Quote Charm, A Smile",Charms,1200,49.00,12
ORGCB186-2,"Engraved Quote Charm, The Mirror",Charms,1200,49.00,13
ORGCB181,Aubergine Charm,Charms,1200,39.00,27
ORGCB187-14K-1,"Engraved Quote Charm, The Moon",Charms,1200,39.00,13
ORGCB187-14K-2,"Engraved Quote Charm, Possible",Charms,1200,39.00,12
ORCB145,"Daisy Charm, Gold and White",Charms,1200,39.00,15
