page	seq_on_page	y	obj	file	width	height
32	5	404.0	369	img_0283.jpg	400	400
32	6	489.6	370	img_0284.jpg	400	400
32	7	570.6	371	img_0285.jpg	400	400
32	8	652.4	372	img_0286.jpg	400	400
32	9	724.9	373	img_0287.jpg	800	800
32	10	811.7	374	img_0288.jpg	800	800
33	1	74.3	377	img_0289.jpg	800	800
33	2	161.2	378	img_0290.jpg	800	800
33	3	243.2	379	img_0291.jpg	800	800
33	4	323.9	380	img_0292.jpg	800	800
33	5	401.6	381	img_0293.jpg	800	800
33	6	491.9	382	img_0294.jpg	800	800
33	7	571.2	383	img_0295.jpg	800	800
33	8	654.7	384	img_0296.jpg	800	800
33	9	735.7	385	img_0297.jpg	800	800
33	10	819.0	386	img_0298.jpg	800	800
34	1	79.2	389	img_0299.jpg	800	800
34	2	161.9	390	img_0300.jpg	800	800
34	3	249.5	391	img_0301.jpg	800	800
34	4	327.5	392	img_0302.jpg	800	800
34	5	406.7	393	img_0303.jpg	1001	1001
34	6	488.4	394	img_0304.jpg	1001	1001
34	7	570.0	395	img_0305.jpg	800	800
34	8	665.8	396	img_0306.jpg	784	787
34	9	741.1	397	img_0307.jpg	788	791
34	10	818.5	398	img_0308.jpg	800	800
